sentence_id	sentence	locale	reason
880343b0b7775c488b5a4ae9ef32fe12e3b274365bec6e94a31acf9982f5b92c	ݜُو ول لا کرؤ مہ کُہئ مہ بُڑی مرِلو	mvy	grammar-or-spelling
3d8454305817af7367894306fc68d6f8c93f8b540b41c8b8d67d757a8726481d	آں سیوں کِراں بنیادی انسانی حقوں استعال مہ گھنی جانی	mvy	grammar-or-spelling
211d1009e8a9a4bceb9c91951993b182fcd090956fec0bdc221c54b0def06415	ہُسی اْے بانی ” پُنیام نئ ای؟“	mvy	grammar-or-spelling
09f6d46ae46bb77078ffd6432498d06569a40b60d6696716512b938c687726da	اَئیں اک نسل نہ مُٹ نسلے زبانی طور تل ڇَیلَیتی	mvy	grammar-or-spelling
72019d7d8a348d817cc096bd9c95c5b66b2e25bca56211f3bde6744b5dd23933	اہمیت خاص طور تل تعلیماں بارہ مہ موئیٹُھک گھئیں مشاورتی اجلاسوں مہ بحث ہوں آںس۔	mvy	grammar-or-spelling
eac0412bb53740a64bdec62bb94b2136cca58863e1a09519af80c189bf514960	سلمی خاص مریلی ژان تھی	mvy	grammar-or-spelling
a55ce82cb71d67593afbf93546ec4d3bbbd36c4bbefb48084e2c890bd1a908f3	ݜو شاناں تئیں فیصلہ کرئیں کموں مالی اعانت دَئیں طئیرقوں	mvy	grammar-or-spelling
9dd27fd243520bf1232cf4e8a31e6a7c91f3441e4c125340f0568eae90dddc92	معاشرتی، سیاسی آں ثقافتیں ترقی مُوٹُھو څیراتے۔	mvy	grammar-or-spelling
77630f06638554b409ad3fd3d28010b84e705299f5823cb7ef39f9cc0cf414a8	نسلی، زباں ،اقلیت آں تارکین وطنئیں آبادی مشارُو،	mvy	different-language
ccca443062d1eabe96b28e34dfee60294208549e2749ae7addaa2d919093b13f	شے سُنی وَیں فساد وختہ نہ اُن٘دُو تھی۔	mvy	grammar-or-spelling
30cebf3378948be22265e779fa603109aaeb6f9b04ec91282369625da0a18d57	یے کھیں تے کرِگ لہ بِس اسیں فَیدیُوں نہ گتہ محروم نی ہوگ	mvy	grammar-or-spelling
79d256123610c749411f1632373738d3b90a49c673aa811c583dc143c723d409	ژناں ڇپیل رژُولی نہ بھی تُھو	mvy	grammar-or-spelling
2099b43e64a26ff57674db0483cfc68dd692e2c0219f8bf19c72f56c7403a76e	ہُسی اْے ہِلاک مؤں دگلے بانی	mvy	grammar-or-spelling
5eab6acc4998282d76fba04c6e559f18bbb1a7a93f3337bf616befd2db910c88	کھیں تے ماسمہ اِسکُلاں گرونڈ مہ ایگلے رن٘گ رن٘گَیں ناٹی کراں تھہ	mvy	grammar-or-spelling
c6d60a9f8939afd518249d62795cade22983d3c2c11ab14ea092ce122b1ccd75	اک قاش مہ دو تلوئیر جوڑ نی اِینٚتی ۔	mvy	grammar-or-spelling
2d9eacb4ec4a5f675a955b53912a894ffde1094aa410601767bddedd129d6997	یا سیوں رسموں اقدار یا نسلی تعلق یا سالمیت نہ محروم رڇھوں ہُوں	mvy	different-language
3aec3b044160916263b2819b1b2daf09887c8cb60c2f4edf5f83450ede8dbde3	خاص کر مقامی خاندان تے برادریوں تاں معصومہ رڇھوں،	mvy	different-language
c3c997ce1c595e9a21798a162d34092b8e87677dfbd1fe779aa14eb99501c7da	اِنسان کَیں حالتی مہ ہُم خُشال نی ہُوئ تُھو۔	mvy	grammar-or-spelling
bf7c49a71f803048c1a51595ed5a9ae911d030a5322af19c23bd711882aca493	گاڑی مرُک ہوں تسیں کریا چمَیں چڑقی نہ کم نی آن٘سی	mvy	grammar-or-spelling
06d1de70301588c1e8171b83357a5aac5ce42f77b2dccbec281cd33093fd06bf	َتنٚگَیں شو دَژی اگار مژہ وئ تھو	mvy	grammar-or-spelling
