client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
c334fa60a0cbb65df0d0a6431ecd607c1740b45e0f057ed72e42c813af5dedacee11819963b0f000d24cf3ad868292f8c817ba75efc7c487979e6a4339408073	common_voice_mvy_42351073.mp3	3f215ab4c9cd4089536b15afd04c294d2baaa0c7d7162f082837f6a8ad15a8c2	فران٘س یُو اېن ایس سی یاں شروع نہ مُستقل مېمبر تُھو،		1	0	thirties				mvy	
d57ec64430d08448231ecc1bfa08a0b56cc77c65375376c7794242138d8ac1e5b46275137b7c762131e96d93df9ca7616a27753387bbab19a0b0232128a521de	common_voice_mvy_42356998.mp3	4f51778478fded2b51e231bb03cfb1e1f29a1d09965f93c13eaa3df9f7b8fba5	آں ڙِگوۡ چھون٘ل (ہو تُھو۔)		1	0	twenties				mvy	
4281ed2314a2c85676db55efdfd06ae0e80cca28b8a50303c9a63524c1b0bccc51e7d7dd44e22e4f6f155ee87c22d5c9f9423d73d9afcbb03a5b77e125c05f09	common_voice_mvy_42357161.mp3	4b9ce5b3ecf4e5f3c69b4b1b32d162702e9d18d0c3ebed60c5373713779d26a4	ہُگیۡ کن٘ڑَیں دڑیں علاج مہ پکار بی تھی		1	0	thirties		کھیل/دوبېرَیں		mvy	
c334fa60a0cbb65df0d0a6431ecd607c1740b45e0f057ed72e42c813af5dedacee11819963b0f000d24cf3ad868292f8c817ba75efc7c487979e6a4339408073	common_voice_mvy_42357815.mp3	46fc6735f6115b5e9d4e22e89f6b25ce68c7b02f84c552e24c549f72ca05dcab	اېک دیس مِیں تاں ہیُو کورا		1	0	thirties				mvy	
c334fa60a0cbb65df0d0a6431ecd607c1740b45e0f057ed72e42c813af5dedacee11819963b0f000d24cf3ad868292f8c817ba75efc7c487979e6a4339408073	common_voice_mvy_42360046.mp3	5bab81cf3d1a8c2dcf0dd22c6ca57ec7203bbf059b2d6f1755f7cb9d7e90010f	(سو وخت بنژا تھی)،		1	0	thirties				mvy	
c334fa60a0cbb65df0d0a6431ecd607c1740b45e0f057ed72e42c813af5dedacee11819963b0f000d24cf3ad868292f8c817ba75efc7c487979e6a4339408073	common_voice_mvy_42360668.mp3	584e49e0661c6e37d39d773c560770a340e57780a19ecbeaedfcec57e347c4ab	گِرانی چئ حدہ ہاریۡ کم ہُوئ تھی۔		0	0	thirties				mvy	
c334fa60a0cbb65df0d0a6431ecd607c1740b45e0f057ed72e42c813af5dedacee11819963b0f000d24cf3ad868292f8c817ba75efc7c487979e6a4339408073	common_voice_mvy_42361258.mp3	626e30116075345f8fccf2d9288e93c0000936e86b74182fbf169e8e5789415b	چے سېوں مہ اک کام جسمہ نہ تاوہ یا خولی نھېلؤں تُھو۔		1	0	thirties				mvy	
4281ed2314a2c85676db55efdfd06ae0e80cca28b8a50303c9a63524c1b0bccc51e7d7dd44e22e4f6f155ee87c22d5c9f9423d73d9afcbb03a5b77e125c05f09	common_voice_mvy_42362521.mp3	431f79f7f7ced721594841644be1fd7b7ab047934ef9d8a8cacc826726d54346	رسولؐ اللّٰہ چئ عاجزی ولے برئ کران٘لہ ان٘داز ہِن مکّے لن٘گھِلوۡ۔		1	0	thirties		کھیل/دوبېرَیں		mvy	
d57ec64430d08448231ecc1bfa08a0b56cc77c65375376c7794242138d8ac1e5b46275137b7c762131e96d93df9ca7616a27753387bbab19a0b0232128a521de	common_voice_mvy_42363340.mp3	7adc587f5b059bdedf809f3a4653a832f8a941e1cb9a2ccb6b2c9075a51c5425	“کافرانہ سا ہے، عشق ہے یا کیا ہے،		1	1	twenties				mvy	
91237594335a342445bbe0b4df49774c3e519dec1f73fc0b76d383003e528907bdc5b9c5ae08145e2d1b3eb7a47c17d037a4678611bc61ad5c0bbb2febf9941e	common_voice_mvy_42363512.mp3	7357af3019e64fac4f600eab7f4303d3eb9c579b8cf77e4880f27a69c493bf04	سیں قُرېشؤں دِش بانیۡ		1	0	thirties				mvy	
